,created_at,document,document_url,appeal,type,iso,description,id,name,translation_module_original_language
0,2022-07-01T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=545759,"{'id': 3572, 'code': 'MDRDJ005', 'event': {'dtype': 21, 'id': 6056, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-06-29T00:00:00Z', 'name': 'Djbouti - Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-06-29T00:00:00Z'}",DREF Operation,DJ,DREF Operation,9611,DREF Operation,en
1,2023-08-10T13:17:51.042365Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRDJ005.pdf,"{'id': 3572, 'code': 'MDRDJ005', 'event': {'dtype': 21, 'id': 6056, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-06-29T00:00:00Z', 'name': 'Djbouti - Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-06-29T00:00:00Z'}",,,,10202,Contributions List,en
2,2022-09-30T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=580108,"{'id': 3572, 'code': 'MDRDJ005', 'event': {'dtype': 21, 'id': 6056, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-06-29T00:00:00Z', 'name': 'Djbouti - Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-06-29T00:00:00Z'}",DREF Operation Update,DJ,DREF Operation Update,9756,DREF Operation Update,en
3,2023-04-27T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=670884,"{'id': 3716, 'code': 'MDREG020', 'event': {'dtype': 5, 'id': 6422, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-04-26T00:00:00Z', 'name': 'EGY: Population Movement - 2023-04 - Sudan Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2023-04-26T00:00:00Z'}",DREF Operation,EG,MDREG020do,10055,DREF Operation,en
4,2023-05-08T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=674543,"{'id': 3717, 'code': 'MDRET030', 'event': {'dtype': 5, 'id': 6456, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'ET', 'iso3': 'ETH', 'id': 65, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DET001', 'average_household_size': None, 'name': 'Ethiopia', 'society_name': 'Ethiopia Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2023-05-05T00:00:00Z', 'name': 'ETH: Population movement from Sudan', 'translation_module_original_language': 'en'}, 'start_date': '2023-05-05T00:00:00Z'}",DREF Operation,ET,MDRET030do,10066,DREF Operation,en
5,2023-05-09T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=675081,"{'id': 3718, 'code': 'MDRSS013', 'event': {'dtype': 5, 'id': 6459, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'name': 'South Sudan', 'society_name': 'South Sudan Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2023-05-08T00:00:00Z', 'name': 'South Sudan - Population Movement from Sudan', 'translation_module_original_language': 'en'}, 'start_date': '2023-05-08T00:00:00Z'}",DREF Operation,SS,MDRSS013do,10067,DREF Operation,en
6,2023-06-05T14:15:55.178540Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRET030.pdf,"{'id': 3717, 'code': 'MDRET030', 'event': {'dtype': 5, 'id': 6456, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'ET', 'iso3': 'ETH', 'id': 65, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DET001', 'average_household_size': None, 'name': 'Ethiopia', 'society_name': 'Ethiopia Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2023-05-05T00:00:00Z', 'name': 'ETH: Population movement from Sudan', 'translation_module_original_language': 'en'}, 'start_date': '2023-05-05T00:00:00Z'}",,,,10104,Contributions List,en
7,2023-06-05T14:15:55.213450Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRTD022.pdf,"{'id': 3715, 'code': 'MDRTD022', 'event': {'dtype': 5, 'id': 6421, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-04-26T00:00:00Z', 'name': 'DBT: Displacement from Sudan to Chad', 'translation_module_original_language': 'fr'}, 'start_date': '2023-04-26T00:00:00Z'}",,,,10105,Contributions List,en
8,2023-06-05T14:15:55Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDREG020.pdf,"{'id': 3716, 'code': 'MDREG020', 'event': {'dtype': 5, 'id': 6422, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-04-26T00:00:00Z', 'name': 'EGY: Population Movement - 2023-04 - Sudan Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2023-04-26T00:00:00Z'}",Documents,EG,,10106,Contributions List,en
9,2023-06-05T14:15:55.573159Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRSS013.pdf,"{'id': 3718, 'code': 'MDRSS013', 'event': {'dtype': 5, 'id': 6459, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'name': 'South Sudan', 'society_name': 'South Sudan Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2023-05-08T00:00:00Z', 'name': 'South Sudan - Population Movement from Sudan', 'translation_module_original_language': 'en'}, 'start_date': '2023-05-08T00:00:00Z'}",,,,10107,Contributions List,en
