,link,iso,description,name,created,code
0,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRDJ005.pdf,,,Contributions List,2023-08-10T13:17:51.042365Z,MDRDJ005
1,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRET030.pdf,,,Contributions List,2023-06-05T14:15:55.178540Z,MDRET030
2,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRTD022.pdf,,,Contributions List,2023-06-05T14:15:55.213450Z,MDRTD022
3,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDREG020.pdf,EG,,Contributions List,2023-06-05T14:15:55Z,MDREG020
4,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRSS013.pdf,,,Contributions List,2023-06-05T14:15:55.573159Z,MDRSS013
5,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRML016.pdf,,,Contributions List,2022-10-06T12:40:29.430924Z,MDRML016
6,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRZW016.pdf,,,Contributions List,2022-10-06T12:40:29.483729Z,MDRZW016
7,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRCD037.pdf,,,Contributions List,2022-10-06T12:40:29.690381Z,MDRCD037
8,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRBF017.pdf,,,Contributions List,2022-10-06T12:40:29.859884Z,MDRBF017
9,https://www.ifrc.org/docs/appeals/Active/MDRET030.pdf,ET,Donor Response,Ethiopia - Population Movement from Sudan (MDRET030),2023-05-05T00:00:00Z,MDRET030
10,https://www.ifrc.org/docs/appeals/Active/MDREG020.pdf,EG,Donor Response,Egypt - Population Movement 2023 (MDREG020),2023-04-26T00:00:00Z,MDREG020
11,https://www.ifrc.org/docs/appeals/Active/MDRSS013.pdf,SS,Donor Response,South Sudan - Population Movement from Sudan (MDRSS013),2023-05-08T00:00:00Z,MDRSS013
12,https://www.ifrc.org/docs/appeals/Active/MDRTD022.pdf,TD,Donor Response,Chad - Pop. Movement 2023 (MDRTD022),2023-04-26T00:00:00Z,MDRTD022
13,https://www.ifrc.org/docs/appeals/Active/MDRCD037.pdf,CD,Donor Response,DR Congo - Hunger Crisis (MDRCD037),2022-07-07T00:00:00Z,MDRCD037
14,https://www.ifrc.org/docs/appeals/Active/MDRDJ005.pdf,DJ,Donor Response,Djibouti - Hunger Crisis (MDRDJ005),2022-06-29T00:00:00Z,MDRDJ005
15,https://www.ifrc.org/docs/appeals/Active/MDRML016.pdf,ML,Donor Response,Mali - Hunger Crisis (MDRML016),2022-06-27T00:00:00Z,MDRML016
16,https://www.ifrc.org/docs/appeals/Active/MDRBF017.pdf,BF,Donor Response,Burkina Faso - Hunger Crisis (MDRBF017),2022-05-26T00:00:00Z,MDRBF017
