,date_of_submission,multi_country,doc_number,region_of_disaster,total_count,total_funding_provided,currency,operational_strategy
0,2023-07-24,False,MDRAF012,Afghanistan,28000,448578,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Provision of emergency shelter and essential household items to flood-affected households.', 'people_reached': {'total': 16727}, 'funding_used': 128865}], 'total_action_funding': 128865}, {'action': 'Multi Purpose Cash Assistance (MPCA)', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Provision of one-time multi-purpose cash assistance to targeted households for meeting essential emergency needs.', 'people_reached': {'total': 20150}, 'funding_used': 248358}], 'total_action_funding': 248358}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Provision of hygiene kits and awareness sessions on their use and importance.', 'people_reached': {'total': 10708, 'male': 5498, 'female': 5210}, 'funding_used': 1065}], 'total_action_funding': 1065}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Conduct PGI, safeguarding, and CEA training for ARCS staff and volunteers.', 'people_reached': {'total': 36900}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Conduct community mobilization and sensitization meetings, and provide CEA orientation/training to staff and volunteers.', 'people_reached': {'total': 4000}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Provide insurance coverage to volunteers and conduct a lessons learned workshop.', 'people_reached': {'total': 30}, 'funding_used': 4000}], 'total_action_funding': 4000}]"
1,03-03-2024,False,MDRAF014,Afghanistan,27358,499885,CHF,"[{'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Provided multipurpose cash assistance of AFN 8,500 (CHF 110) to each household across eight provinces.', 'people_reached': {'total': 27358, 'male': 13004, 'female': 14354}, 'funding_used': 352000}], 'total_action_funding': 352000}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Distributed dignity kits to 1,746 households, ensuring the protection and menstrual hygiene of women and girls.', 'people_reached': {'total': 6796, 'male': 3398, 'female': 3398}, 'funding_used': 82500}], 'total_action_funding': 82500}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Afghanistan', 'action_description': 'Engaged communities through feedback mechanisms and disseminated key information.', 'people_reached': {'total': 27358}, 'funding_used': 1000}], 'total_action_funding': 1000}]"
2,02-08-2023,False,MDRAM011,Armenia,4120,386194,CHF,"[{'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Armenia', 'action_description': 'Provide cash assistance to meet the immediate needs of the affected population.', 'people_reached': {'total': 3421}, 'funding_used': 310742}], 'total_action_funding': 319211}, {'action': 'Risk Reduction, Climate Adaptation And Recovery', 'executed_in': [{'country': 'Armenia', 'action_description': 'Disseminate risk communication materials and conduct community sessions on risk mitigation.', 'people_reached': {'total': 3000}, 'funding_used': 4500}], 'total_action_funding': 4500}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Armenia', 'action_description': 'Engage with communities to inform, collect feedback, and address concerns.', 'people_reached': {'total': 4120}, 'funding_used': 4652}], 'total_action_funding': 4652}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Armenia', 'action_description': 'Provide technical support, oversight, and monitoring for the operation.', 'people_reached': {'total': 4}, 'funding_used': 9542}], 'total_action_funding': 9542}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Armenia', 'action_description': 'Strengthen ARCS capacity through training and operational support.', 'people_reached': {'total': 35}, 'funding_used': 49807}], 'total_action_funding': 49807}]"
3,30-11-2023,False,MDRAR019,"Buenos Aires, Neuquén",5050,269978,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Argentina', 'action_description': 'Distribution of shelter toolkits, tarpaulins, and blankets to affected families.', 'people_reached': {'total': 2500}, 'funding_used': 59321}], 'total_action_funding': 59321}, {'action': 'Health', 'executed_in': [{'country': 'Argentina', 'action_description': 'Provision of first aid, distribution of first aid kits, and health promotion activities.', 'people_reached': {'total': 5050}, 'funding_used': 13419}], 'total_action_funding': 13419}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Argentina', 'action_description': 'Distribution of hygiene kits, cleaning kits, water filters, and jerrycans; hygiene promotion activities.', 'people_reached': {'total': 5050}, 'funding_used': 107405}], 'total_action_funding': 107405}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Argentina', 'action_description': 'Dissemination of information, satisfaction surveys, and establishment of communication channels.', 'people_reached': {'total': 6400}, 'funding_used': 4793}], 'total_action_funding': 4793}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Argentina', 'action_description': 'Deployment of surge personnel and field monitoring visits.', 'people_reached': {'total': 0}, 'funding_used': 11875}], 'total_action_funding': 11875}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Argentina', 'action_description': 'Training workshops and distribution of personal protective equipment.', 'people_reached': {'total': 0}, 'funding_used': 73166}], 'total_action_funding': 73166}]"
4,2022-12-24,False,MDRBA014,Bosnia and Herzegovina,3000,134251,CHF,"[{'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Unconditional cash grants to the 1,500 most vulnerable people to meet urgent needs.', 'people_reached': {'total': 700}, 'funding_used': 93322}], 'total_action_funding': 93322}, {'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Distribution of emergency stock items and replenishment of those items.', 'people_reached': {'total': 600}, 'funding_used': 4338}], 'total_action_funding': 4338}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Replenishment of hygiene packages, promotion flyers, and bottled water.', 'people_reached': {'total': 2000}, 'funding_used': 4744}], 'total_action_funding': 4744}, {'action': 'Health', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Health promotion and disease prevention activities, including water safety awareness.', 'people_reached': {'total': 4000}, 'funding_used': 1883}], 'total_action_funding': 1883}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Support for volunteers and staff with capacity building and resources.', 'people_reached': {'total': 100}, 'funding_used': 25018}], 'total_action_funding': 25018}]"
5,"July, 2023",False,MDRBA015,northwestern Bosnia and Herzegovina,1131,126505,CHF,"[{'action': 'Cash and Voucher Assistance (CVA)', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Implementation of cash assistance programs to address diverse needs among vulnerable populations.', 'people_reached': {'total': 565}, 'funding_used': 43470}], 'total_action_funding': 56477}, {'action': 'Health', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Organized workshops to disseminate health information and raise awareness about preventative measures and health protection.', 'people_reached': {'total': 273}, 'funding_used': 5379}], 'total_action_funding': 5379}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Provided essential tools and goods for immediate response and cleaning to flood-affected households.', 'people_reached': {'total': 1000}, 'funding_used': 45182}], 'total_action_funding': 45182}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Bosnia and Herzegovina', 'action_description': 'Conducted field visits and involved volunteers and staff in the operation to ensure proper implementation of activities.', 'people_reached': {'total': 50}, 'funding_used': 19467}], 'total_action_funding': 19467}]"
6,2023-09-30,False,MDRBD029,Chittagong,15000,494207,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Provision of emergency shelter kits and essential household items to fire-affected households.', 'people_reached': {'total': 14360}, 'funding_used': 318043}], 'total_action_funding': 318043}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Provision of emergency dry food packages to fire-affected households in coordination with the Food Security Sector.', 'people_reached': {'total': 9970}, 'funding_used': 5516}], 'total_action_funding': 5516}, {'action': 'Health', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Provision of first aid management, psychological first aid, and establishment of a temporary medical unit.', 'people_reached': {'total': 1188}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Restoration of water supply networks and hygiene promotion sessions for fire-affected households.', 'people_reached': {'total': 15486}, 'funding_used': 109053}], 'total_action_funding': 109053}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Provision of PGI-related services and conducting a child safeguarding risk analysis.', 'people_reached': {'total': 1652}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Establishment of help desks and feedback mechanisms to capture and address community feedback.', 'people_reached': {'total': 1131}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Coverage of salaries for IFRC technical personnel supporting BDRCS counterparts.', 'people_reached': {'total': 0}, 'funding_used': 45538}], 'total_action_funding': 45538}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Organizing a lessons learned workshop and producing communication materials.', 'people_reached': {'total': 92}, 'funding_used': 4793}], 'total_action_funding': 4793}]"
7,2023-11-30,False,MDRBD030,Bangladesh,31077,496783,CHF,"[{'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'To address immediate emergency food needs, BDRCS provided food packages, created work opportunities, and provided vegetable seeds for homestead gardening.', 'people_reached': {'total': 21248}, 'funding_used': 33577}], 'total_action_funding': 33577}, {'action': 'Shelter', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS mobilized tarpaulins, shelter toolkits, bamboo, etc., from contingency stock and distributed them to meet the emergency shelter needs of displaced people.', 'people_reached': {'total': 14786}, 'funding_used': 134640}], 'total_action_funding': 134640}, {'action': 'Health', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS mobilized trained volunteers and a mobile medical team to cater to the health needs of affected people by providing first aid, psychological first aid, and medical assistance.', 'people_reached': {'total': 16804}, 'funding_used': 28747}], 'total_action_funding': 28747}, {'action': 'WASH', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS provided drinking water, repaired damaged tubewells, constructed latrines, and conducted hygiene awareness sessions.', 'people_reached': {'total': 10164}, 'funding_used': 52122}], 'total_action_funding': 52122}, {'action': 'Multipurpose Cash', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS provided multipurpose cash assistance through a financial service provider to meet the immediate basic needs of affected households.', 'people_reached': {'total': 17280}, 'funding_used': 144795}], 'total_action_funding': 144795}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS provided dignity kits and conducted PGI awareness sessions.', 'people_reached': {'total': 31077}, 'funding_used': 14515}], 'total_action_funding': 14515}, {'action': 'Risk Reduction, Climate Adaptation And Recovery', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS disseminated early warning messages and facilitated safe evacuation.', 'people_reached': {'total': 1000000}, 'funding_used': 2356}], 'total_action_funding': 2356}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS ensured community participation through needs assessment, planning, design, implementation, monitoring, and evaluation.', 'people_reached': {'total': 31077}, 'funding_used': 4241}], 'total_action_funding': 4241}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'BDRCS organized a lesson learned workshop to gather insights and improve future operations.', 'people_reached': {'total': 20}, 'funding_used': 58626}], 'total_action_funding': 58626}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'IFRC coordinated with BDRCS and provided technical support for the operation.', 'people_reached': {'total': 10}, 'funding_used': 25919}], 'total_action_funding': 25919}]"
8,2023-11-30,False,MDRBD031,Bangladesh,563241,305871,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Mobilized volunteers to hospitals, provided LLINs, medicine, and testing kits to health facilities.', 'people_reached': {'total': 563241}, 'funding_used': 208442}], 'total_action_funding': 208442}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Organized clean-up drives, provided hygiene kits to health facilities, and conducted hygiene promotion activities.', 'people_reached': {'total': 563241}, 'funding_used': 17314}], 'total_action_funding': 17314}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Conducted PGI training and orientations for volunteers, integrated PGI aspects into dengue awareness orientations.', 'people_reached': {'total': 563241}, 'funding_used': 2617}], 'total_action_funding': 2617}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Developed and disseminated IEC materials, conducted community awareness initiatives, and established feedback mechanisms.', 'people_reached': {'total': 563241}, 'funding_used': 26385}], 'total_action_funding': 26385}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Provided technical assistance, conducted monitoring missions, and supported BDRCS in coordination and communication efforts.', 'people_reached': {'total': 35}, 'funding_used': 8722}], 'total_action_funding': 8722}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Bangladesh', 'action_description': 'Distributed PPE to volunteers and staff, conducted workshops and training sessions for youth management and volunteer policy formation.', 'people_reached': {'total': 300}, 'funding_used': 32360}], 'total_action_funding': 32360}]"
9,24-05-2023,False,MDRBJ018,"Atacora, Benin",6000,259928,CHF,"[{'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Benin', 'action_description': 'Displaced populations need reception sites for temporary shelter. Emergency shelters set up to accommodate displaced people in case of emergency.', 'people_reached': {'total': 1500}, 'funding_used': 47844}], 'total_action_funding': 47844}, {'action': 'Livelihoods And Basic Needs', 'executed_in': [{'country': 'Benin', 'action_description': 'Distribution of food and non-food kits to displaced households. Monitored and evaluated the distribution.', 'people_reached': {'total': 3000}, 'funding_used': 86007}], 'total_action_funding': 86007}, {'action': 'Health', 'executed_in': [{'country': 'Benin', 'action_description': 'Training of volunteers on life-saving techniques and community health. Distribution of mosquito nets and psychosocial support.', 'people_reached': {'total': 6000}, 'funding_used': 23803}], 'total_action_funding': 23803}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Benin', 'action_description': 'Distribution of Aquatabs and hygiene kits. Construction of emergency latrines and sensitization on sanitation practices.', 'people_reached': {'total': 6000}, 'funding_used': 23581}], 'total_action_funding': 23581}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Benin', 'action_description': 'Training on ERP concepts and skills. Collection and processing of feedback.', 'people_reached': {'total': 6000}, 'funding_used': 4761}], 'total_action_funding': 4761}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Benin', 'action_description': 'Regular meetings and feedback collection through suggestion boxes, complaint numbers, and surveys.', 'people_reached': {'total': 6000}, 'funding_used': 936}], 'total_action_funding': 936}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Benin', 'action_description': 'Coordination and monitoring meetings conducted. Ensured effective implementation of operational activities.', 'people_reached': {'total': 70}, 'funding_used': 32365}], 'total_action_funding': 32365}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Benin', 'action_description': 'Training of volunteers in areas of Protection and PEAHS. Coordination meetings with government and stakeholders.', 'people_reached': {'total': 70}, 'funding_used': 40631}], 'total_action_funding': 40631}]"
