,created_at,document,document_url,appeal,type,iso,description,id,name,translation_module_original_language
0,2023-12-04T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=768198,"{'id': 3814, 'code': 'MDRCF031', 'event': {'dtype': 13, 'id': 6729, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-11-22T00:00:00Z', 'name': 'CAF: High Winds CAR 2023', 'translation_module_original_language': 'en'}, 'start_date': '2023-11-22T00:00:00Z'}",DREF Operation,CF,MDRCF031do_1,10391,DREF Operation,en
1,2024-01-21T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=793127,"{'id': 3832, 'code': 'MDRLS007', 'event': {'dtype': 23, 'id': 6833, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2024-01-17T00:00:00Z', 'name': 'LSO: Lesotho Storm Surge', 'translation_module_original_language': 'en'}, 'start_date': '2024-01-17T00:00:00Z'}",DREF Operation,LS,MDRLS007do,10447,DREF Operation,en
2,2023-09-14T13:18:32Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRLY005.pdf,"{'id': 3780, 'code': 'MDRLY005', 'event': {'dtype': 4, 'id': 6647, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-09-12T00:00:00Z', 'name': 'LBY: إعصار - 2023-09 -Libya, Storm Daniel', 'translation_module_original_language': 'ar'}, 'start_date': '2023-09-12T00:00:00Z'}",Contributions List,LY,,10255,Contributions List,en
3,2023-09-14T15:18:27Z,,https://www.ifrc.org/sites/default/files/media/appeal/file/2023-09/MDRLY005EA.pdf,"{'id': 3780, 'code': 'MDRLY005', 'event': {'dtype': 4, 'id': 6647, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-09-12T00:00:00Z', 'name': 'LBY: إعصار - 2023-09 -Libya, Storm Daniel', 'translation_module_original_language': 'ar'}, 'start_date': '2023-09-12T00:00:00Z'}",Emergency Appeal,LY,,10257,Emergency Appeal,en
4,2024-01-31T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=796323,"{'id': 3837, 'code': 'MDRMH003', 'event': {'dtype': 23, 'id': 6837, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2024-01-30T00:00:00Z', 'name': 'Marshall Islands: Storm Surge - 2024', 'translation_module_original_language': 'en'}, 'start_date': '2024-01-30T00:00:00Z'}",DREF Operation,MH,MDRMH003do,10458,DREF Operation,en
5,2023-07-10T12:17:16.717727Z,,https://adore.ifrc.org/Download.aspx?FileId=702286,"{'id': 3499, 'code': 'MDRMW015', 'event': {'dtype': 12, 'id': 5708, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2021-12-08T00:00:00Z', 'name': 'Malawi  Tropical Storm  Ana , Strong winds and stormy rains', 'translation_module_original_language': 'en'}, 'start_date': '2021-12-08T00:00:00Z'}",,,,10150,12 month update,en
6,2023-09-12T02:17:10.745077Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRMA010.pdf,"{'id': 3778, 'code': 'MDRMA010', 'event': {'dtype': 2, 'id': 6646, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-09-11T00:00:00Z', 'name': 'Morocco - Earthquake-2023-09', 'translation_module_original_language': 'en'}, 'start_date': '2023-09-11T00:00:00Z'}",,,,10248,Contributions List,en
7,2023-09-12T16:18:15.169768Z,,https://www.ifrc.org/sites/default/files/media/appeal/file/2023-09/MDRMA010EA.pdf,"{'id': 3778, 'code': 'MDRMA010', 'event': {'dtype': 2, 'id': 6646, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-09-11T00:00:00Z', 'name': 'Morocco - Earthquake-2023-09', 'translation_module_original_language': 'en'}, 'start_date': '2023-09-11T00:00:00Z'}",,,,10249,Emergency Appeal,en
8,2023-08-18T09:15:26Z,,https://adore.ifrc.org/Download.aspx?FileId=718918,"{'id': 3764, 'code': 'MDRSI003', 'event': {'dtype': 12, 'id': 6576, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-08-16T00:00:00Z', 'name': 'Slovenia: Floods', 'translation_module_original_language': 'en'}, 'start_date': '2023-08-16T00:00:00Z'}",DREF Operation,SI,,10212,DREF Operation,en
9,2023-12-20T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=780477,"{'id': 3807, 'code': 'MDRKE058', 'event': {'dtype': 12, 'id': 6756, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'KE', 'iso3': 'KEN', 'id': 93, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DKE001', 'average_household_size': None, 'society_name': 'Kenya Red Cross Society', 'name': 'Kenya', 'translation_module_original_language': 'en'}], 'start_date': '2023-11-11T00:00:00Z', 'name': 'KEN: 2023 Floods', 'translation_module_original_language': 'en'}, 'start_date': '2023-11-11T00:00:00Z'}",Operational strategy,KE,MDRKE058os,10412,Operational strategy,en
