,created_at,document,document_url,appeal,type,iso,description,id,name,translation_module_original_language
0,2023-12-04T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=768198,"{'id': 3814, 'code': 'MDRCF031', 'event': {'dtype': 13, 'id': 6729, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-11-22T00:00:00Z', 'name': 'CAF: High Winds CAR 2023', 'translation_module_original_language': 'en'}, 'start_date': '2023-11-22T00:00:00Z'}",DREF Operation,CF,MDRCF031do_1,10391,DREF Operation,en
1,2024-01-21T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=793127,"{'id': 3832, 'code': 'MDRLS007', 'event': {'dtype': 23, 'id': 6833, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2024-01-17T00:00:00Z', 'name': 'LSO: Lesotho Storm Surge', 'translation_module_original_language': 'en'}, 'start_date': '2024-01-17T00:00:00Z'}",DREF Operation,LS,MDRLS007do,10447,DREF Operation,en
2,2024-11-04T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=840220,"{'id': 3780, 'code': 'MDRLY005', 'event': {'dtype': 4, 'id': 6647, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-09-12T00:00:00Z', 'name': 'LBY: إعصار - 2023-09 -Libya, Storm Daniel', 'translation_module_original_language': 'ar'}, 'start_date': '2023-09-12T00:00:00Z'}",Operations Update,LY,MDRLY005OU2,14758,Libya - Flood Storm Daniel (MDRLY005),en
3,2025-01-02T00:00:00Z,,https://go-api.ifrc.org/api/downloadfile/86848/MDRMH003dfr,"{'id': 3837, 'code': 'MDRMH003', 'event': {'dtype': 23, 'id': 6837, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2024-01-30T00:00:00Z', 'name': 'Marshall Islands: Storm Surge - 2024', 'translation_module_original_language': 'en'}, 'start_date': '2024-01-30T00:00:00Z'}",DREF Operation Final Report,MH,MDRMH003dfr,14846,Marshall Islands - Storm Surge (MDRMH003),en
4,2023-11-17T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=761447,"{'id': 3499, 'code': 'MDRMW015', 'event': {'dtype': 12, 'id': 5708, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2021-12-08T00:00:00Z', 'name': 'Malawi  Tropical Storm  Ana , Strong winds and stormy rains', 'translation_module_original_language': 'en'}, 'start_date': '2021-12-08T00:00:00Z'}",Final Report,MW,MDRMW015fr,10354,Final Report,en
5,2024-11-16T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=840310,"{'id': 3778, 'code': 'MDRMA010', 'event': {'dtype': 2, 'id': 6646, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-09-11T00:00:00Z', 'name': 'Morocco - Earthquake-2023-09', 'translation_module_original_language': 'en'}, 'start_date': '2023-09-11T00:00:00Z'}",12 month update,MA,MDRMA010OU5,14779,Morocco - Earthquake (MDRMA010),en
6,2024-02-02T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=797260,"{'id': 3764, 'code': 'MDRSI003', 'event': {'dtype': 12, 'id': 6576, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-08-16T00:00:00Z', 'name': 'Slovenia: Floods', 'translation_module_original_language': 'en'}, 'start_date': '2023-08-16T00:00:00Z'}",DREF Operation Update,SI,MDRSI003du1,10476,Slovenia - Floods (MDRSI003),en
7,2024-11-20T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=840329,"{'id': 3807, 'code': 'MDRKE058', 'event': {'dtype': 12, 'id': 6756, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'KE', 'iso3': 'KEN', 'id': 93, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DKE001', 'average_household_size': None, 'society_name': 'Kenya Red Cross Society', 'name': 'Kenya', 'translation_module_original_language': 'en'}], 'start_date': '2023-11-11T00:00:00Z', 'name': 'KEN: 2023 Floods', 'translation_module_original_language': 'en'}, 'start_date': '2023-11-11T00:00:00Z'}",Operational strategy,KE,MDRKE058 rOS,14784,Kenya - Floods (MDRKE058),en
8,2024-12-30T00:00:00Z,,https://go-api.ifrc.org/api/downloadfile/66903/MDRMM016efr,"{'id': 3414, 'code': 'MDRMM016', 'event': {'dtype': 6, 'id': 5301, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2021-03-12T00:00:00Z', 'name': 'Myanmar: Complex Emergency', 'translation_module_original_language': 'en'}, 'start_date': '2021-03-12T00:00:00Z'}",Final Report,MM,MDRMM016efr,14858,Myanmar - Complex Emergency (MDRMM016),en
9,2024-10-15T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=840038,"{'id': 1985, 'code': 'MDRBD018', 'event': {'dtype': 5, 'id': 2, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2017-01-13T00:00:00Z', 'name': 'Bangladesh - Population Movement (MDRBD018)', 'translation_module_original_language': 'en'}, 'start_date': '2017-01-13T00:00:00Z'}",Operations Update,BD,MDRBD018OU21,14713,Bangladesh - Population Movement (MDRBD018),en
